1,1,581.73,446.01,89.76,262.97,0.8563,-1,-1,-1
1,2,1335.77,421.52,163.61,358.34,0.7968,-1,-1,-1
1,3,1455.89,437.66,143.29,333.91,0.7003,-1,-1,-1
1,4,448.81,436.25,102.46,284.05,0.665,-1,-1,-1
1,5,1253.7,427.32,41.06,121.46,0.5153,-1,-1,-1
1,6,731.75,454.75,31.86,112.41,0.4571,-1,-1,-1
1,7,690.85,453.53,44.45,148.51,0.3623,-1,-1,-1
1,8,920.9,433.77,55.13,152.44,0.3111,-1,-1,-1
1,9,1305.73,419.56,40.83,131.55,0.295,-1,-1,-1
2,1,582.1,445.33,90.38,262.58,0.8456,-1,-1,-1
2,2,1342.52,416.36,162.87,368.24,0.8,-1,-1,-1
2,4,448.73,437.96,106.67,284.25,0.7102,-1,-1,-1
2,3,1454.79,440.73,145.15,332.38,0.6663,-1,-1,-1
2,6,732.55,456.76,32.79,111.08,0.4953,-1,-1,-1
2,5,1255.93,429.64,36.54,119.77,0.4006,-1,-1,-1
2,10,1101.83,452.27,32.71,102.79,0.3252,-1,-1,-1
2,8,923.2,438.63,52.33,147.07,0.2913,-1,-1,-1
2,7,692.69,452.12,43.46,149.57,0.2807,-1,-1,-1
2,11,656.72,451.1,71.07,168.46,0.2715,-1,-1,-1
3,1,581.58,444.38,91.84,265.22,0.8329,-1,-1,-1
3,2,1344.15,418.36,176.05,374.57,0.827,-1,-1,-1
3,4,451.24,438.34,105.44,284.22,0.7058,-1,-1,-1
3,3,1470.97,433.07,137.84,343.13,0.6462,-1,-1,-1
3,6,732.39,456.09,32.26,109.11,0.4914,-1,-1,-1
3,5,1255.81,428.82,38.88,119.4,0.4316,-1,-1,-1
3,12,1448.27,487.98,74.96,197.79,0.3701,-1,-1,-1
3,8,918.87,438.74,55.74,147.79,0.3303,-1,-1,-1
3,11,655.29,449.93,74.12,184.94,0.2865,-1,-1,-1
3,10,1101.05,451.12,34.0,102.26,0.2724,-1,-1,-1
3,7,692.64,451.4,43.34,146.06,0.2541,-1,-1,-1
4,2,1349.64,418.16,174.14,381.57,0.8297,-1,-1,-1
4,1,580.74,441.82,94.84,269.46,0.8181,-1,-1,-1
4,4,446.54,439.48,114.66,282.94,0.7242,-1,-1,-1
4,3,1479.06,431.1,129.65,341.56,0.6728,-1,-1,-1
4,12,1459.21,565.63,67.09,120.46,0.5723,-1,-1,-1
4,6,732.41,455.95,32.49,110.79,0.474,-1,-1,-1
4,5,1257.85,428.26,34.81,119.57,0.3745,-1,-1,-1
4,8,919.61,435.21,55.73,151.04,0.3448,-1,-1,-1
4,9,1306.36,419.31,43.01,128.7,0.3031,-1,-1,-1
4,11,653.97,452.05,73.01,182.23,0.2703,-1,-1,-1
5,2,1352.7,418.53,170.37,381.26,0.8368,-1,-1,-1
5,1,581.32,444.24,93.79,265.51,0.824,-1,-1,-1
5,3,1484.83,423.74,116.7,347.25,0.7747,-1,-1,-1
5,4,441.73,439.94,121.3,281.28,0.7263,-1,-1,-1
5,6,732.67,456.02,32.61,110.86,0.4699,-1,-1,-1
5,5,1257.38,425.17,39.05,122.94,0.3867,-1,-1,-1
5,8,919.48,435.2,55.07,151.04,0.3645,-1,-1,-1
5,9,1306.15,416.62,43.37,130.64,0.3447,-1,-1,-1
5,11,654.4,453.34,70.82,184.41,0.311,-1,-1,-1
6,2,1360.33,418.45,165.58,380.06,0.8813,-1,-1,-1
6,1,582.47,445.07,92.31,265.69,0.8456,-1,-1,-1
6,3,1496.81,425.03,102.81,348.52,0.7642,-1,-1,-1
6,4,440.38,438.52,122.32,284.33,0.7367,-1,-1,-1
6,6,732.81,455.32,32.32,112.11,0.4741,-1,-1,-1
6,5,1257.41,425.4,38.96,123.01,0.4301,-1,-1,-1
6,8,918.38,434.71,55.86,151.88,0.3734,-1,-1,-1
6,9,1306.27,418.9,43.04,129.91,0.3595,-1,-1,-1
6,11,653.62,453.17,69.09,182.89,0.3041,-1,-1,-1
7,2,1375.28,413.51,153.23,386.03,0.8776,-1,-1,-1
7,1,583.27,444.65,92.18,265.5,0.8584,-1,-1,-1
7,4,440.86,440.59,122.67,284.15,0.7763,-1,-1,-1
7,3,1501.9,437.19,99.98,335.52,0.7277,-1,-1,-1
